base_process_variant,flip_p,subsample_step,k,branch_entropy_mean,branch_entropy_std,unifilarity_score_mean,unifilarity_score_std,logloss_mean,logloss_std
even_process,0.0,1,1,0.0,0.0,1.0,0.0,0.45670126665238103,0.0005859535454610646
even_process,0.0,1,2,0.0,0.0,1.0,0.0,0.4346750661208,0.0005041914714741653
even_process,0.0,1,3,0.20522716095834675,0.0008112822525940964,0.913561589039726,0.000492125888866975,0.4276672240557839,0.0006875573076948716
even_process,0.0,1,4,0.23435489278899696,0.03160752687011225,0.9038819963123848,0.015948746979692084,0.4122655846845567,0.000498256502760549
even_process,0.0,1,5,0.25622460935433017,0.06175763474684984,0.9214095528582321,0.026427679504023662,0.40735375955257574,0.000702099779058871
even_process,0.0,1,6,0.34222296789612916,0.10668925972349697,0.9041558068165483,0.039834538951451545,0.3965658338272917,0.00034782921201598584
even_process,0.0,1,7,0.47173576527936323,0.07962557886505355,0.8724861243062154,0.043750202286501644,0.39304166791274664,0.00018663786311433025
even_process,0.0,1,8,0.6078236486078662,0.06070565350577458,0.8337331474895462,0.03032413947885705,0.38569590210246935,0.0004288901988277947
even_process,0.0,2,1,0.0,0.0,1.0,0.0,0.4605785621024315,0.0016850137448026685
even_process,0.0,2,2,0.0,0.0,1.0,0.0,0.4584935788568645,0.001767628987942546
even_process,0.0,2,3,0.00854687716858604,0.006878432026752046,0.9986199309965498,0.0010276623868557076,0.4576723818149434,0.001933710743586451
even_process,0.0,2,4,0.2679396533769329,0.021518032992127328,0.9103918994937183,0.024276854260373026,0.45723184902593694,0.0020288445540142712
even_process,0.0,2,5,0.3363531242597809,0.08297303035762532,0.8865914943620771,0.025006114161730014,0.457400818525387,0.0024522923759286897
even_process,0.0,2,6,0.529612015849503,0.09430557391353415,0.8508369482329703,0.024186126047129504,0.4573137092134315,0.0019158097381613709
even_process,0.0,2,7,0.8068223496685757,0.09891105416798238,0.7521677167716772,0.03599254460577643,0.4598360614715397,0.004347633477610257
even_process,0.0,2,8,1.0266324104414708,0.08852488657065673,0.7143578652598418,0.03173550580426127,0.4641367480415893,0.006745253234170678
even_process,0.0,4,1,0.0,0.0,1.0,0.0,0.46552958685073975,0.005675800909449968
even_process,0.0,4,2,0.0,0.0,1.0,0.0,0.46550410052112845,0.005696647547227193
even_process,0.0,4,3,0.059507029326299164,0.0490749464070769,0.9857885788578858,0.011862396654290048,0.4655306638313359,0.005526626835090357
even_process,0.0,4,4,0.1537427304039229,0.09868976564263866,0.9617952244030503,0.026267612873850328,0.4665686305719442,0.005699173010128328
even_process,0.0,4,5,0.4877960559762096,0.1849265348763394,0.8787518127719158,0.05997502413608068,0.46627666771614856,0.005672985878290791
even_process,0.0,4,6,0.8956018650638136,0.21330867495819192,0.7594329007576326,0.07904111189912488,0.47005629654356185,0.008208491827409
even_process,0.0,4,7,1.170986048199239,0.18171630009427087,0.7016903380676135,0.05699115066466004,0.47650881684244173,0.0100365902621938
even_process,0.0,4,8,1.4321435964461104,0.21999704270124812,0.6199544897601961,0.08026561541159939,0.48581685712779193,0.009822687894343714
even_process,0.01,1,1,0.0,0.0,1.0,0.0,0.4677991448290933,0.0006856698433662932
even_process,0.01,1,2,0.0,0.0,1.0,0.0,0.45241267396355267,0.0007276091340224641
even_process,0.01,1,3,0.2112756745017082,0.0012108765735900574,0.9114290357258931,0.0003916210454716648,0.4463369401194326,0.0009029625353225973
even_process,0.01,1,4,0.24430500333649235,0.03418094916266561,0.9013131660364386,0.01687388000612482,0.4359173618018131,0.0008760646876123385
even_process,0.01,1,5,0.30128462919338705,0.06896261825914372,0.9137867670037627,0.026909516053424697,0.4319464081787657,0.0013882878015483429
even_process,0.01,1,6,0.5149533492404819,0.07986107872886464,0.8326264274061991,0.03079540320106455,0.4257119476690914,0.0016016923163288833
even_process,0.01,1,7,0.5467300674940672,0.03575015449151338,0.8632506625331267,0.018012885261282644,0.42373122595152735,0.0014327625993835133
even_process,0.01,1,8,0.7331464784692743,0.10641857172128115,0.8135557625116412,0.05236242559746516,0.4201796653021231,0.0026036148770688565
even_process,0.01,2,1,0.0,0.0,1.0,0.0,0.4718278987919792,0.0017327778839089404
even_process,0.01,2,2,0.0,0.0,1.0,0.0,0.47000947717429575,0.0018787620590367618
even_process,0.01,2,3,0.008621727437935099,0.009488004522742392,0.9984349217460873,0.0015559487352075493,0.46926728319303346,0.0020831302676904647
even_process,0.01,2,4,0.26654498033912594,0.060350956667105805,0.8977986124132759,0.03681985246468577,0.46947491182881507,0.002146682957481365
even_process,0.01,2,5,0.3828253660523272,0.06956177622153638,0.873760532039903,0.02514671120406501,0.469388449063518,0.002149064372845755
even_process,0.01,2,6,0.5794802188520405,0.05004796995167075,0.8310402160189015,0.01665842077666287,0.47007603003982695,0.002520422370403528
even_process,0.01,2,7,0.8120398332423635,0.052252378722949404,0.7528827882788278,0.025486248378307704,0.4726614142789389,0.004977733332681309
even_process,0.01,2,8,1.1082525708711652,0.07800726066649424,0.6886924779037642,0.04782415954417158,0.47718398679332774,0.007229063935718458
even_process,0.01,4,1,0.0,0.0,1.0,0.0,0.47580753090880207,0.005167967234755534
even_process,0.01,4,2,0.0,0.0,1.0,0.0,0.47577483577484436,0.0051758725540727996
even_process,0.01,4,3,0.12906703707633585,0.11790111492163603,0.9682618261826181,0.0290112436743995,0.47590088987744467,0.005201150047365166
even_process,0.01,4,4,0.22788557201201348,0.108665457840494,0.9366170771346418,0.035778467752086957,0.47594508121186907,0.005058379113929628
even_process,0.01,4,5,0.5946732812483846,0.2712382461694451,0.8407811171675752,0.09501748019878112,0.4778519123642345,0.0033293037817209367
even_process,0.01,4,6,0.9237792730280875,0.22208368881262844,0.7627684844847848,0.07519518327188345,0.48305098508497446,0.006271365323196133
even_process,0.01,4,7,1.228478504643864,0.08920477361031012,0.6761402280456091,0.04460971509740183,0.48937618850532855,0.0060002418566300715
even_process,0.01,4,8,1.5340203202044609,0.1405752043614972,0.5944587532194744,0.04351016694109919,0.4991645072133049,0.010490565988067158
even_process,0.02,1,1,0.0,0.0,1.0,0.0,0.4786364488152775,0.0008937910583644438
even_process,0.02,1,2,0.0,0.0,1.0,0.0,0.46691671776374666,0.001057754794180286
even_process,0.02,1,3,0.23477255016417686,0.022994278704061618,0.9045588639715992,0.006752495379020596,0.46179668462514245,0.0011944257919325589
even_process,0.02,1,4,0.2700425130654578,0.06736805850987311,0.8952029750929718,0.023405180191039408,0.45418978967624063,0.0008428175302588895
even_process,0.02,1,5,0.3346955662492754,0.08696663944261078,0.903443879145468,0.023256445457438532,0.4506166089965549,0.0013038177908761594
even_process,0.02,1,6,0.5467655552698415,0.08169357217404428,0.8411380497896783,0.025505949373273166,0.44641203990900447,0.0015910642119454847
even_process,0.02,1,7,0.6371590641239051,0.0782626279307569,0.8184196709835492,0.043937844879527586,0.4448802641927654,0.002311814329862335
even_process,0.02,1,8,0.8827334199575858,0.026501373677778352,0.7530623597577364,0.024436470900668975,0.44348659139050783,0.0031295254107802485
even_process,0.02,2,1,0.0,0.0,1.0,0.0,0.482379728033825,0.0018078299683655752
even_process,0.02,2,2,0.0,0.0,1.0,0.0,0.4808803631488002,0.001923694789952822
even_process,0.02,2,3,0.008517645938752,0.012820645167036142,0.9985024251212561,0.002144183350539323,0.4802304013903916,0.0021042944498705744
even_process,0.02,2,4,0.2720380490504034,0.0724394519835696,0.897593599599975,0.03557616828580254,0.48029356747716284,0.0024224135956527203
even_process,0.02,2,5,0.38824091229603197,0.07438535968358938,0.8793484511338351,0.019340008163995562,0.4802154036791843,0.0025302705970053374
even_process,0.02,2,6,0.6246104191243103,0.1918828713956701,0.8106409310814696,0.06630512154758789,0.4820764359359515,0.0033233415154988745
even_process,0.02,2,7,0.9328518057014155,0.10675428533786313,0.7207745774577458,0.044126516310114924,0.48385282751433695,0.004729801008597972
even_process,0.02,2,8,1.1894035069632367,0.060555946446796134,0.6787688614969184,0.025273534980175184,0.48900293472318035,0.007561547755573729
even_process,0.02,4,1,0.0,0.0,1.0,0.0,0.48544345249325127,0.004202981255861006
even_process,0.02,4,2,0.0,0.0,1.0,0.0,0.4854401989369129,0.00419798151730184
