base_process_variant,flip_p,subsample_step,k,process,reconstructor,representation,logloss_mean,logloss_std,n_states_mean,n_states_std,C_mu_empirical_mean,C_mu_empirical_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
even_process,0.0,1,1,even_process,one_step_greedy_merge,last_1,0.45670126665238103,0.0005859535454610646,2.0,0.0,0.46618340803503067,0.0010261133862904852,1.0,0.0,0.0,0.0
even_process,0.0,1,2,even_process,one_step_greedy_merge,last_2,0.4346750661208,0.0005041914714741653,3.0,0.0,0.8143010930259207,0.0015311012289068394,1.0,0.0,0.0,0.0
even_process,0.0,1,3,even_process,one_step_greedy_merge,last_3,0.4276672240557839,0.0006875573076948716,3.0,0.0,0.9371727513999504,0.0012616242689218252,0.913561589039726,0.000492125888866975,0.20522716095834675,0.0008112822525940964
even_process,0.0,1,4,even_process,one_step_greedy_merge,last_4,0.4122655846845567,0.000498256502760549,3.8,0.447213595499958,1.0773792234589459,0.04688532381415497,0.9038819963123848,0.015948746979692084,0.23435489278899696,0.03160752687011225
even_process,0.0,1,5,even_process,one_step_greedy_merge,last_5,0.40735375955257574,0.000702099779058871,4.4,0.5477225575051661,1.1799008339100294,0.1415440188864602,0.9214095528582321,0.026427679504023662,0.25622460935433017,0.06175763474684984
even_process,0.0,1,6,even_process,one_step_greedy_merge,last_6,0.3965658338272917,0.00034782921201598584,5.2,0.8366600265340756,1.2161165225952988,0.09153233766489029,0.9041558068165483,0.039834538951451545,0.34222296789612916,0.10668925972349697
even_process,0.0,1,7,even_process,one_step_greedy_merge,last_7,0.39304166791274664,0.00018663786311433025,7.6,0.547722557505166,1.3322365584817495,0.07529025865110915,0.8724861243062154,0.043750202286501644,0.47173576527936323,0.07962557886505355
even_process,0.0,1,8,even_process,one_step_greedy_merge,last_8,0.38569590210246935,0.0004288901988277947,9.0,0.7071067811865476,1.4112587451094556,0.048765044350236764,0.8337331474895462,0.03032413947885705,0.6078236486078662,0.06070565350577458
even_process,0.0,2,1,even_process_sub2,one_step_greedy_merge,last_1,0.4605785621024315,0.0016850137448026685,2.0,0.0,0.466184857769833,0.0010362822677114664,1.0,0.0,0.0,0.0
even_process,0.0,2,2,even_process_sub2,one_step_greedy_merge,last_2,0.4584935788568645,0.001767628987942546,3.0,0.0,0.8728376263635444,0.001836332576202073,1.0,0.0,0.0,0.0
even_process,0.0,2,3,even_process_sub2,one_step_greedy_merge,last_3,0.4576723818149434,0.001933710743586451,4.8,0.44721359549995804,1.2363495130477258,0.02508122022539396,0.9986199309965498,0.0010276623868557076,0.00854687716858604,0.006878432026752046
even_process,0.0,2,4,even_process_sub2,one_step_greedy_merge,last_4,0.45723184902593694,0.0020288445540142712,7.0,0.7071067811865476,1.433587693674476,0.07871113449294033,0.9103918994937183,0.024276854260373026,0.2679396533769329,0.021518032992127328
even_process,0.0,2,5,even_process_sub2,one_step_greedy_merge,last_5,0.457400818525387,0.0024522923759286897,9.2,0.8366600265340752,1.6485124422572226,0.03661493535753822,0.8865914943620771,0.025006114161730014,0.3363531242597809,0.08297303035762532
even_process,0.0,2,6,even_process_sub2,one_step_greedy_merge,last_6,0.4573137092134315,0.0019158097381613709,11.4,1.5165750888103102,1.8910239998258842,0.06788555279518213,0.8508369482329703,0.024186126047129504,0.529612015849503,0.09430557391353415
even_process,0.0,2,7,even_process_sub2,one_step_greedy_merge,last_7,0.4598360614715397,0.004347633477610257,14.0,1.4142135623730951,2.007682277110897,0.0431310429026829,0.7521677167716772,0.03599254460577643,0.8068223496685757,0.09891105416798238
even_process,0.0,2,8,even_process_sub2,one_step_greedy_merge,last_8,0.4641367480415893,0.006745253234170678,16.8,1.4832396974191326,2.05939486018442,0.06509741187226369,0.7143578652598418,0.03173550580426127,1.0266324104414708,0.08852488657065673
even_process,0.0,4,1,even_process_sub4,one_step_greedy_merge,last_1,0.46552958685073975,0.005675800909449968,2.0,0.0,0.46658704757395253,0.0013399324614757186,1.0,0.0,0.0,0.0
even_process,0.0,4,2,even_process_sub4,one_step_greedy_merge,last_2,0.46550410052112845,0.005696647547227193,2.4,0.5477225575051661,0.6245162363524429,0.21604992246871588,1.0,0.0,0.0,0.0
