seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy,condition_folder,base_process_variant,flip_p,subsample_step,k
0,even_process_flip0.01,last_4,one_step_greedy_merge,0.435035294928208,4,1.0546944627852697,0.9125722678833712,0.2107493521792521,even_process_flip0.01,even_process,0.01,1,4
0,even_process_flip0.01,last_5,one_step_greedy_merge,0.4302210840495012,8,1.1214926723646046,0.9351788192057202,0.2245738069535794,even_process_flip0.01,even_process,0.01,1,5
0,even_process_flip0.01,last_6,one_step_greedy_merge,0.4260904341838911,12,1.3560518044592778,0.8175357671898146,0.4805591420370999,even_process_flip0.01,even_process,0.01,1,6
0,even_process_flip0.01,last_7,one_step_greedy_merge,0.4231634945263373,17,1.4013632313870146,0.8579616480824042,0.5415720245659368,even_process_flip0.01,even_process,0.01,1,7
0,even_process_flip0.01,last_8,one_step_greedy_merge,0.4174903436764495,21,1.5297691758900278,0.8164834271927796,0.684972591061715,even_process_flip0.01,even_process,0.01,1,8
1,even_process_flip0.01,last_1,one_step_greedy_merge,0.4686733922962061,2,0.4760558302546681,1.0,0.0,even_process_flip0.01,even_process,0.01,1,1
1,even_process_flip0.01,last_2,one_step_greedy_merge,0.4526852718848719,3,0.8309739193040924,1.0,0.0,even_process_flip0.01,even_process,0.01,1,2
1,even_process_flip0.01,last_3,one_step_greedy_merge,0.4470231125177247,3,0.9496034679547488,0.9116852921323032,0.211153574179452,even_process_flip0.01,even_process,0.01,1,3
1,even_process_flip0.01,last_4,one_step_greedy_merge,0.4365012904835181,5,1.1834772420521094,0.8714209819056845,0.3021770993700144,even_process_flip0.01,even_process,0.01,1,4
1,even_process_flip0.01,last_5,one_step_greedy_merge,0.4322929767876982,9,1.1212267750552207,0.9314724302161332,0.2527702796283152,even_process_flip0.01,even_process,0.01,1,5
1,even_process_flip0.01,last_6,one_step_greedy_merge,0.4249035554859361,14,1.363811192042674,0.8743945047595832,0.3967587753322573,even_process_flip0.01,even_process,0.01,1,6
1,even_process_flip0.01,last_7,one_step_greedy_merge,0.423248095378758,17,1.4839686037580195,0.8347042352117606,0.6090556196406302,even_process_flip0.01,even_process,0.01,1,7
1,even_process_flip0.01,last_8,one_step_greedy_merge,0.418836457036763,24,1.5219674016379243,0.8570544593133363,0.6365662421451223,even_process_flip0.01,even_process,0.01,1,8
