noise,seed,method,method_param,n_states,ari_coarse,ari_fine,ari_joint,test_logloss,unifilarity,branch_entropy,elapsed_s
0.02,0,prism_predictive,0.22,35,0.07543403619881735,0.1877325127876167,0.3814138110069056,1.4291693600068318,0.9874551971326162,0.04587412525614159,0.10579277575016022
0.02,0,prism_predictive,0.25,34,0.07717939541515259,0.19432655825972375,0.3882305290224125,1.429576356504996,0.9874551971326162,0.049462633671787576,0.1057377252727747
0.02,0,prism_predictive,0.28,32,0.0772817311735274,0.19596462089181718,0.3883467266439938,1.4312749696159754,0.9819121447028423,0.06382692126246815,0.10609508398920298
0.02,0,prism_predictive,0.3,29,0.08003164383705005,0.2086342186921839,0.39800724400070053,1.4333926246614261,0.9742435608902223,0.07890870982797564,0.10668640211224556
0.02,0,prism_predictive,0.32,27,0.08257768046094496,0.21677689141106116,0.40639014670328144,1.4342895702443028,0.9668250395932314,0.11899351454317067,0.10612999554723501
0.02,0,prism_predictive,0.35,19,0.09673850900394337,0.21314733324199242,0.34103246325425207,1.4616298982835672,0.9237726098191212,0.2358367005680648,0.10561245121061802
0.02,0,prism_predictive,0.38,11,0.08224293833607979,0.24951330010027367,0.2899244252201953,1.5110831440001606,0.875218804701175,0.3776336680056068,0.10570743400603533
0.02,0,history_kmeans,3.0,3,2.824933593155563e-06,0.39294217353715893,0.13918307143493003,1.6641744845809259,0.9999999999999998,0.0,0.11569036357104778
0.02,0,history_kmeans,6.0,6,0.035087827591612636,0.2706123830805236,0.19038710917022997,1.5737134218018851,0.7869467366841709,0.655143879262816,0.12213786039501429
0.02,0,history_kmeans,9.0,9,0.02710562511148876,0.3703835311135336,0.2849328904728089,1.5638125511345504,0.8774693673418353,0.43326268426087666,0.1550055332481861
0.02,0,history_kmeans,12.0,12,0.031905050659392545,0.463034399542888,0.32470892988436156,1.5663160077070488,1.0000000000000002,0.0,0.17516199592500925
0.02,0,history_kmeans,18.0,18,0.07061633275581834,0.194129790701151,0.35383433430887873,1.4669032489412814,0.8196215720596816,0.6174142126588524,0.2605420611798763
0.02,1,prism_predictive,0.22,36,0.07220066276541656,0.17892451176453505,0.3679918062715807,1.417478547124895,1.0000000000000002,0.0,0.10752944648265839
0.02,1,prism_predictive,0.25,33,0.07408284728392513,0.18586464662156893,0.37469144479507965,1.4183452947396153,0.9835375510544307,0.04131829935203065,0.10775976348668337
0.02,1,prism_predictive,0.28,28,0.08065615605227118,0.20563411922112518,0.39647931480105164,1.4224398342732325,0.9631157789447368,0.12217433357076793,0.10772130265831947
0.02,1,prism_predictive,0.3,26,0.08355469587546116,0.21099605738646468,0.39816849808338667,1.4280918276181354,0.9549887471867969,0.14476483782982472,0.10801131092011929
