base_process_variant,flip_p,subsample_step,k,branch_entropy_mean,branch_entropy_std,unifilarity_score_mean,unifilarity_score_std,logloss_mean,logloss_std
markov2_k_sweep,0.0,1,1,0.0,0.0,1.0,0.0,0.6034734115368094,0.0025888401693328037
markov2_k_sweep,0.0,1,2,0.0,0.0,1.0,0.0,0.4291336268215932,0.0029829959562162234
markov2_k_sweep,0.0,1,3,0.0,0.0,1.0,0.0,0.4291295668009445,0.002966662231980507
markov2_k_sweep,0.0,1,4,0.02123937873826626,0.03616760895648605,0.9944060751898496,0.01006251941835068,0.4291403572044736,0.0029629358708277483
markov2_k_sweep,0.0,1,5,0.14101770070104153,0.055965336681717985,0.9636661374801555,0.0193856817645675,0.429170641995673,0.002970585966144349
