base_process,flip_p,subsample_step,k,logloss_mean,logloss_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
markov_order_2,0.0,1,1,0.605886022310503,0.0028905449362303316,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,2,0.4306691399486667,0.0019630421230445137,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,3,0.4306660091360822,0.001967655168187275,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,4,0.430667762843054,0.0019690983590899725,0.9977099713746422,0.00724170636311514,0.008331601853222329,0.026346838413862435
markov_order_2,0.0,1,5,0.4306815867273093,0.001969909346211767,0.9736861052915795,0.024864548787403174,0.09108566383718446,0.07231978013896596
markov_order_2,0.0,1,6,0.4307088859262166,0.001973835816781024,0.9237576657591507,0.0457611369504123,0.2838676805153415,0.14114339149276292
