obs_std,kalman_param,baseline_method,baseline_param,kalman_mean,baseline_mean,gain_mean,gain_ci95_low,gain_ci95_high,wins,n_seeds,paired_t_p
0.15,3.0,history_kmeans,18.0,0.4244332649121585,0.020065535294626277,0.4043677296175323,0.33192807155476856,0.47680738768029607,5,5,0.00010116635359708091
0.25,3.0,history_kmeans,18.0,0.392209307651588,0.021889472707239323,0.3703198349443487,0.2980785852192439,0.44256108466945354,5,5,0.00014153643350917126
0.4,3.0,history_kmeans,18.0,0.3464721402342546,0.01743208870500336,0.3290400515292512,0.26099814839906466,0.39708195465943774,5,5,0.00017799714972627028
