base_process,flip_p,subsample_step,k,logloss_mean,logloss_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
sns,0.0,1,2,0.6104256894278566,0.0024010406347750456,1.0,0.0,0.0,0.0
sns,0.0,1,3,0.6104247664836551,0.0024041042255263617,1.0,0.0,0.0,0.0
sns,0.0,1,4,0.6104254772018438,0.0024001647795451786,0.979432173300177,0.038659013782997353,0.06520506766502329,0.10362230207812283
sns,0.0,1,5,0.6104782510496428,0.0024051548160704114,0.8007718208269281,0.05189955193161217,0.6044770067338875,0.12404772127210789
