base_process,condition_id,flip_p,subsample_step,reconstructor,representation,k,n,logloss_mean,logloss_std,n_states_mean,n_states_std,C_mu_empirical_mean,C_mu_empirical_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
sns,flip0_sub1,0.0,1,one_step_greedy_merge,last_2_noisy,2,5,0.6104256894278566,0.0024010406347750456,2.0,0.0,0.6931460717388582,9.006771418338496e-07,1.0,0.0,0.0,0.0
sns,flip0_sub1,0.0,1,one_step_greedy_merge,last_3_noisy,3,5,0.6104247664836551,0.0024041042255263617,2.0,0.0,0.6931460720250963,8.988926207327753e-07,1.0,0.0,0.0,0.0
sns,flip0_sub1,0.0,1,one_step_greedy_merge,last_4_noisy,4,5,0.6104254772018438,0.0024001647795451786,2.8,0.8366600265340756,0.7673160640758621,0.12740349907215195,0.979432173300177,0.038659013782997353,0.06520506766502329,0.10362230207812283
sns,flip0_sub1,0.0,1,one_step_greedy_merge,last_5_noisy,5,5,0.6104782510496428,0.0024051548160704114,4.8,0.8366600265340756,1.1750358530674414,0.06945583238682361,0.8007718208269281,0.05189955193161217,0.6044770067338875,0.12404772127210789
