base_process,flip_p,subsample_step,k,logloss_mean,logloss_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
markov_order_2,0.0,1,1,0.6056274147279332,0.0026807561374353477,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,2,0.43071668848643896,0.0021100213679506145,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,3,0.4307172535407,0.0021109229929453543,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,4,0.4307176032246338,0.0021106677648567215,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,5,0.43071891455040284,0.0021108541370660674,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,6,0.430724479905384,0.0021047934738234824,0.9959813398367237,0.004155834164763939,0.023037917136698213,0.021542589968612767
