seed,length,train_frac,process,base_process,eps,flip_p,subsample_step,wrappers,condition_id,representation,k,dv,reconstructor,logloss,gaussian_logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy,psi_opt,psi_macro_dim,psi_optimiser,macro_dim,obs_dim,projection_mode,macro_builder,macro_eps,macro_bins,macro_symboliser,model_selection,selection_score,selection_value,selection_predictive,selection_stability,selection_n_states_var,selection_unifilarity_var,selection_branch_entropy_var,selection_n_states_mean,selection_unifilarity_mean,selection_branch_entropy_mean,selection_macro_time_mean_s,selection_macro_time_max_s,selection_distance_matrix_mb_est,selection_n_pred,latent_dim,iss_mode,macro_build_time_s,macro_distance_matrix_mb_est,macro_n_pred,model_valid,invalid_reason
0,1800,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.25,0.0,1,,flip0_sub1,iss_d2_dv2,2,2,kalman_iss,1.3621823867073557,1.3621823867073557,11.0,0.08347541761818915,0.9944367176634215,0.04013560621494994,-0.7759273463711738,2.0,pca,2,3,pca,hierarchical_single,0.25,3,quantile,False,predictive,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,steady_state,89.320077375,15.798347473144531,1439,True,
1,1800,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.25,0.0,1,,flip0_sub1,iss_d2_dv2,2,2,kalman_iss,0.9757634833511742,0.9757634833511742,6.0,0.10490947390788828,0.9958275382475661,0.03340900494660514,-0.6132756429231341,2.0,pca,2,3,pca,hierarchical_single,0.25,3,quantile,False,predictive,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,steady_state,87.22588833300001,15.798347473144531,1439,True,
2,1800,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.25,0.0,1,,flip0_sub1,iss_d2_dv2,2,2,kalman_iss,1.5114803253576419,1.5114803253576419,35.0,0.3188806881422145,0.978442280945758,0.14732167241695426,-0.5858328416021821,2.0,pca,2,3,pca,hierarchical_single,0.25,3,quantile,False,predictive,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,steady_state,84.90262033300002,15.798347473144531,1439,True,
