base_process,flip_p,subsample_step,k,logloss_mean,logloss_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
markov_order_2,0.0,1,1,0.6056274147279332,0.0026807561374353477,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,2,0.43071668848643896,0.0021100213679506145,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,3,0.4307172535407,0.0021109229929453543,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,4,0.4307176032246338,0.0021106677648567215,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,5,0.43072261281392066,0.0021089775514292575,0.9836116270872031,0.02082559175494353,0.05115864524154869,0.05621212107818895
markov_order_2,0.0,1,6,0.43073911958006467,0.002102375854385243,0.9442946375780787,0.026047263903030294,0.19767444623683175,0.08435319434258015
