noise,prism_best_eps_joint,prism_best_joint,kmeans_best_k_joint,kmeans_best_joint,joint_gain,prism_best_eps_nll,prism_best_nll,kmeans_best_k_nll,kmeans_best_nll,nll_gain
0.02,0.32,0.4033770007162884,18.0,0.32223901574736724,0.08113798496892116,0.22,1.4193829624795242,18.0,1.48483020893955,0.06544724646002575
0.05,0.3,0.361092612924717,18.0,0.2941398733186471,0.0669527396060699,0.22,1.4613762544231494,18.0,1.5176573339608594,0.05628107953771
0.08,0.28,0.3279472729407705,18.0,0.2820555150241717,0.045891757916598774,0.22,1.4950323305881097,18.0,1.539295239307536,0.0442629087194264
0.12,0.25,0.2814383932604495,18.0,0.2432140563940764,0.03822433686637311,0.22,1.5395137065096982,18.0,1.5775359403648888,0.038022233855190546
0.16,0.22,0.245479122087068,18.0,0.21359132356488061,0.0318877985221874,0.22,1.574543504089371,18.0,1.6058563309784077,0.031312826889036804
0.2,0.22,0.20630050939231684,12.0,0.19268853449367768,0.013611974898639162,0.22,1.616838705912145,18.0,1.6390203347731311,0.02218162886098618
