seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy
0,even_process_flip0.05_sub4,last_1,one_step_greedy_merge,0.5135862484957033,2,0.5105053317762718,1.0,0.0
0,even_process_flip0.05_sub4,last_2,one_step_greedy_merge,0.5136176745211838,2,0.5104787648232036,1.0,0.0
0,even_process_flip0.05_sub4,last_3,one_step_greedy_merge,0.5138737896955314,2,0.45954151957231393,0.9649464946494649,0.1269633332546137
0,even_process_flip0.05_sub4,last_4,one_step_greedy_merge,0.5140473090372968,3,0.5830625230316545,0.9358919864983123,0.3034452811728936
0,even_process_flip0.05_sub4,last_5,one_step_greedy_merge,0.5137854481911208,5,1.1131089043316755,0.7852177826674,0.7010217702418488
0,even_process_flip0.05_sub4,last_6,one_step_greedy_merge,0.514662012903831,12,1.3891200055093318,0.6738429225114395,1.268841582327608
0,even_process_flip0.05_sub4,last_7,one_step_greedy_merge,0.5185560840189554,17,1.4900711976603096,0.6812112422484496,1.282935878248336
0,even_process_flip0.05_sub4,last_8,one_step_greedy_merge,0.5385632615900724,21,1.6075302465049164,0.558525668275362,1.767250123711238
1,even_process_flip0.05_sub4,last_1,one_step_greedy_merge,0.5058046722644112,2,0.5089258351131539,1.0,0.0
1,even_process_flip0.05_sub4,last_2,one_step_greedy_merge,0.5058312790310306,2,0.5089327844934339,1.0,0.0
1,even_process_flip0.05_sub4,last_3,one_step_greedy_merge,0.5061077830241054,2,0.5470395753225066,0.9697219721972197,0.12113598651449331
1,even_process_flip0.05_sub4,last_4,one_step_greedy_merge,0.5062066750866058,4,0.9365012031849859,0.9118639829978747,0.3028710528799308
1,even_process_flip0.05_sub4,last_5,one_step_greedy_merge,0.5088657504817882,7,1.120577823466761,0.7244586688003201,0.8115237997634877
1,even_process_flip0.05_sub4,last_6,one_step_greedy_merge,0.508919762251671,10,1.1842420816696249,0.7393793913934938,1.018937325800016
1,even_process_flip0.05_sub4,last_7,one_step_greedy_merge,0.5193375916179637,15,1.3288448294832864,0.6755601120224045,1.3274081096726338
1,even_process_flip0.05_sub4,last_8,one_step_greedy_merge,0.5299871104262543,20,1.48928453546462,0.6594483758845741,1.3678049916252466
2,even_process_flip0.05_sub4,last_1,one_step_greedy_merge,0.5147187932277423,2,0.5126093606865281,1.0,0.0
2,even_process_flip0.05_sub4,last_2,one_step_greedy_merge,0.5147457675162838,2,0.5125830354969667,1.0,0.0
2,even_process_flip0.05_sub4,last_3,one_step_greedy_merge,0.5149732118238676,3,0.7601280410938268,0.8540104010401041,0.3497020680513924
2,even_process_flip0.05_sub4,last_4,one_step_greedy_merge,0.5147297416143661,4,0.7664008349982592,0.8285035629453682,0.5310886194064987
2,even_process_flip0.05_sub4,last_5,one_step_greedy_merge,0.5147418097796036,7,1.0208854905323759,0.8105215782367355,0.7289839171935533
2,even_process_flip0.05_sub4,last_6,one_step_greedy_merge,0.515111246829869,12,1.397926512635412,0.6447878378716275,1.2933002199760733
2,even_process_flip0.05_sub4,last_7,one_step_greedy_merge,0.5259724139382302,16,1.5506871694451276,0.5637627525505101,1.5102993809266425
2,even_process_flip0.05_sub4,last_8,one_step_greedy_merge,0.5397298185302665,20,1.711767722034835,0.5292940911705134,1.7816265907567437
3,even_process_flip0.05_sub4,last_1,one_step_greedy_merge,0.5151011630304383,2,0.5122763920014372,1.0,0.0
3,even_process_flip0.05_sub4,last_2,one_step_greedy_merge,0.5151288846462863,2,0.5122833462778561,1.0,0.0
3,even_process_flip0.05_sub4,last_3,one_step_greedy_merge,0.5149486256280528,3,0.6400501497102934,0.9272677267726772,0.3143498135758989
3,even_process_flip0.05_sub4,last_4,one_step_greedy_merge,0.5150837358759215,4,0.6916566762429054,0.9319914989373672,0.29379323924613715
3,even_process_flip0.05_sub4,last_5,one_step_greedy_merge,0.5186690509348565,7,1.0619576989118722,0.738360754113117,0.9426000235328912
3,even_process_flip0.05_sub4,last_6,one_step_greedy_merge,0.5209838839846116,11,1.1714246446843772,0.7409296626909709,1.0190538586770226
3,even_process_flip0.05_sub4,last_7,one_step_greedy_merge,0.5243179360193526,15,1.3261535562308737,0.6700340068013603,1.3045733596217841
3,even_process_flip0.05_sub4,last_8,one_step_greedy_merge,0.5521053562980213,19,1.5011920067417421,0.5525743292240755,1.6063357667303486
4,even_process_flip0.05_sub4,last_1,one_step_greedy_merge,0.5147328884464099,2,0.5114757224550738,1.0,0.0
4,even_process_flip0.05_sub4,last_2,one_step_greedy_merge,0.5146304793976394,2,0.5114492670145088,1.0,0.0
4,even_process_flip0.05_sub4,last_3,one_step_greedy_merge,0.5148073746204923,3,0.6913758900980802,0.9330683068306831,0.21776681453532667
4,even_process_flip0.05_sub4,last_4,one_step_greedy_merge,0.514821850522367,5,0.9775852436383136,0.8221777722215277,0.6645608687515455
4,even_process_flip0.05_sub4,last_5,one_step_greedy_merge,0.5150664625949544,6,1.005617103459529,0.7587888183227484,0.8726658572421452
4,even_process_flip0.05_sub4,last_6,one_step_greedy_merge,0.5232283209254801,10,1.2988352871619047,0.6253094291501012,1.2724557547753794
4,even_process_flip0.05_sub4,last_7,one_step_greedy_merge,0.5229048971460193,13,1.4521663709063128,0.578990798159632,1.409720744610032
4,even_process_flip0.05_sub4,last_8,one_step_greedy_merge,0.5267495728093698,21,1.6073346065118765,0.5418469155560001,1.6594469805043641
