seed,length,train_frac,process,base_process,eps,flip_p,subsample_step,wrappers,condition_id,representation,k,dv,reconstructor,logloss,gaussian_logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy,psi_opt,psi_macro_dim,psi_optimiser,macro_dim,obs_dim,projection_mode,macro_builder,macro_eps,macro_bins,macro_symboliser,model_selection,selection_score,selection_value,selection_predictive,selection_stability,selection_n_states_var,selection_unifilarity_var,selection_branch_entropy_var,selection_n_states_mean,selection_unifilarity_mean,selection_branch_entropy_mean,selection_macro_time_mean_s,selection_macro_time_max_s,selection_distance_matrix_mb_est,selection_n_pred,latent_dim,iss_mode,macro_build_time_s,macro_distance_matrix_mb_est,macro_n_pred,model_valid,invalid_reason
0,1800,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.25,0.0,1,,flip0_sub1,iss_d2_dv2,2,2,kalman_iss,1.3621823867073557,1.3621823867073557,9.0,2.1950917032229222,0.41863699582753827,2.2050614567390987,-0.7759273463711738,2.0,pca,2,3,pca,linear_quantile,0.25,3,quantile,False,predictive,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,steady_state,0.00458512500000019,0.0,1439,True,
1,1800,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.25,0.0,1,,flip0_sub1,iss_d2_dv2,2,2,kalman_iss,0.9757634833511742,0.9757634833511742,9.0,2.195104809650369,0.347009735744089,2.468662703589251,-0.6132756429231341,2.0,pca,2,3,pca,linear_quantile,0.25,3,quantile,False,predictive,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,steady_state,0.004075667000000394,0.0,1439,True,
2,1800,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.25,0.0,1,,flip0_sub1,iss_d2_dv2,2,2,kalman_iss,1.5114803253576419,1.5114803253576419,9.0,2.191006057891823,0.4958275382475661,2.032550248717715,-0.5858328416021821,2.0,pca,2,3,pca,linear_quantile,0.25,3,quantile,False,predictive,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,steady_state,0.0042303750000005635,0.0,1439,True,
