base_process,condition_id,flip_p,subsample_step,reconstructor,representation,k,n,logloss_mean,logloss_std,n_states_mean,n_states_std,C_mu_empirical_mean,C_mu_empirical_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_1,1,2,0.6082631298411993,0.0008670608897932684,2.0,0.0,0.6359856004869469,0.00012991059023420915,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_2,2,2,0.431843294618078,0.0011269302933865789,4.0,0.0,1.2411015350787964,0.0004049068367552272,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_3,3,2,0.43184462354762443,0.0011273658154469456,4.0,0.0,1.2411015323659231,0.00040588325837476386,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_4,4,2,0.43184471207581043,0.001126023048410859,4.5,0.7071067811865476,1.2974093525648647,0.0800361928468319,0.9859649122807017,0.019848611401727632,0.05344713245303862,0.0755856595850384
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_5,5,2,0.4318494417185057,0.001124294986020978,7.5,0.7071067811865476,1.3974050008199015,0.007128153028122773,0.9451533386500399,0.007168348756894271,0.1985503989470347,0.017056548116548043
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_6,6,2,0.4318633686669141,0.0011318886414339385,14.0,1.4142135623730951,1.5810831190226642,0.04427862399211408,0.8872015130132389,0.030183117057222087,0.390510968470398,0.05894102865771956
