base_process,condition_id,flip_p,subsample_step,reconstructor,representation,k,n,logloss_mean,logloss_std,n_states_mean,n_states_std,C_mu_empirical_mean,C_mu_empirical_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_1,1,10,0.605886022310503,0.0028905449362303316,2.0,0.0,0.6360484599318144,0.0008133801851346928,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_2,2,10,0.4306691399486667,0.0019630421230445137,4.0,0.0,1.241415640960021,0.0019883177232294896,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_3,3,10,0.4306660091360822,0.001967655168187275,4.0,0.0,1.2414153656215792,0.001987750768421542,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_4,4,10,0.430667762843054,0.0019690983590899725,4.1,0.3162277660168379,1.2480796382227097,0.021246252778371597,0.9977099713746422,0.00724170636311514,0.008331601853222329,0.026346838413862435
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_5,5,10,0.4306815867273093,0.001969909346211767,6.2,0.9189365834726815,1.337320626691852,0.060547207434290505,0.9736861052915795,0.024864548787403174,0.09108566383718446,0.07231978013896596
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_6,6,10,0.4307088859262166,0.001973835816781024,11.2,1.5491933384829668,1.4944121476576284,0.10616572170444848,0.9237576657591507,0.0457611369504123,0.2838676805153415,0.14114339149276292
