seed,length,train_frac,process,base_process,eps,flip_p,subsample_step,wrappers,condition_id,representation,k,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy
0,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_1,1,one_step_greedy_merge,0.6057197564937604,2,0.6362683951615072,1.0,0.0
0,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_2,2,one_step_greedy_merge,0.42992078625479,4,1.2416347535727774,1.0,0.0
0,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_3,3,one_step_greedy_merge,0.4299019858063285,4,1.2416361285183584,1.0,0.0
0,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_4,4,one_step_greedy_merge,0.4299071935248391,5,1.3082829583203106,0.9770997137464218,0.08331601853222328
0,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_5,5,one_step_greedy_merge,0.42996746607520164,7,1.359743490758658,0.9860147902218533,0.058151391180904705
0,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_6,6,one_step_greedy_merge,0.4299870840252712,12,1.4333855325430453,0.9555517221551377,0.17580646884890766
1,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_1,1,one_step_greedy_merge,0.6088484006128442,2,0.6354717089676918,1.0,0.0
1,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_2,2,one_step_greedy_merge,0.43079692390822977,4,1.239911735966027,1.0,0.0
1,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_3,3,one_step_greedy_merge,0.43080014908457726,4,1.2399103442064332,1.0,0.0
1,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_4,4,one_step_greedy_merge,0.43080339794674655,4,1.2399117226271072,1.0,0.0
1,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_5,5,one_step_greedy_merge,0.43082349732168473,6,1.373218735791403,0.985559783396751,0.06841366151758632
1,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_6,6,one_step_greedy_merge,0.4308269816465338,10,1.572002671650802,0.8713302482793449,0.39773245254090467
2,500000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_1,1,one_step_greedy_merge,0.6118470906607688,2,0.6361623942150769,1.0,0.0
