base_process,condition_id,flip_p,subsample_step,reconstructor,representation,k,n,logloss_mean,logloss_std,n_states_mean,n_states_std,C_mu_empirical_mean,C_mu_empirical_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_1,1,10,0.605886022310503,0.0028905449362303316,2.0,0.0,0.6360484599318144,0.0008133801851346928,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_2,2,10,0.4306691399486667,0.0019630421230445137,4.0,0.0,1.241415640960021,0.0019883177232294896,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_3,3,10,0.4306660091360822,0.001967655168187275,4.0,0.0,1.2414153656215792,0.001987750768421542,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_4,4,10,0.4306674489953992,0.001969233298432722,4.0,0.0,1.241415092737137,0.0019868735428400295,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_5,5,10,0.4306748177095942,0.001972299447251492,4.1,0.3162277660168379,1.2418511514428432,0.002187806187696714,0.9996882453236798,0.0007234229534302654,0.0025175493501634395,0.006010102707209051
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_6,6,10,0.4306925920509893,0.001979835830402202,6.3,0.9486832980505138,1.3363723962349543,0.11116954694426319,0.9677794361401324,0.03836980777717903,0.11670694381300628,0.12628644650744353
