seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy
0,even_process_flip0.1,last_1,one_step_greedy_merge,0.5510288701719086,2,0.5519176374197489,1.0,0.0
0,even_process_flip0.1,last_2,one_step_greedy_merge,0.548964288070107,3,0.9556114194191703,1.0,0.0
0,even_process_flip0.1,last_3,one_step_greedy_merge,0.5472903358674032,3,1.0286868486073673,0.8999787494687367,0.2567496917737705
0,even_process_flip0.1,last_4,one_step_greedy_merge,0.5461213515430269,5,1.2907386756500896,0.8550329697803056,0.3986019766410151
0,even_process_flip0.1,last_5,one_step_greedy_merge,0.5450389758912818,7,1.560022485413957,0.8107741540307761,0.6193087549940138
0,even_process_flip0.1,last_6,one_step_greedy_merge,0.5443702706206422,9,1.742423517846867,0.7261255179914121,0.8229634243424337
0,even_process_flip0.1,last_7,one_step_greedy_merge,0.5444923367459745,11,1.8868162792431735,0.6749087454372719,1.062326395043726
0,even_process_flip0.1,last_8,one_step_greedy_merge,0.5457190846839718,18,2.0453584851869144,0.5726259602102618,1.5273221475040728
1,even_process_flip0.1,last_1,one_step_greedy_merge,0.5485969787262518,2,0.5519607100750269,1.0,0.0
1,even_process_flip0.1,last_2,one_step_greedy_merge,0.5460972311842364,3,0.9543876068746613,1.0,0.0
1,even_process_flip0.1,last_3,one_step_greedy_merge,0.5444914096597983,4,1.1773508220298101,0.8516775419385485,0.3286690245066419
1,even_process_flip0.1,last_4,one_step_greedy_merge,0.5427379975070892,5,1.4121521346540578,0.8744210756586144,0.35678072476733613
1,even_process_flip0.1,last_5,one_step_greedy_merge,0.5419649800690038,6,1.341638248980111,0.8939835243821643,0.3795150092252378
1,even_process_flip0.1,last_6,one_step_greedy_merge,0.5413202165122317,9,1.601447748664195,0.767327320570275,0.799748549691033
1,even_process_flip0.1,last_7,one_step_greedy_merge,0.5408271219189711,16,1.8059670355973594,0.7207922896144807,1.019215728220342
1,even_process_flip0.1,last_8,one_step_greedy_merge,0.5405542360484245,20,1.975811741712129,0.6302292003925221,1.347437230100083
2,even_process_flip0.1,last_1,one_step_greedy_merge,0.5531851623665045,2,0.5522548340305157,1.0,0.0
2,even_process_flip0.1,last_2,one_step_greedy_merge,0.5511584736753063,3,0.9549709274815783,1.0,0.0
2,even_process_flip0.1,last_3,one_step_greedy_merge,0.5496732598279213,4,1.290482157483656,0.92819195479887,0.19658329186215195
2,even_process_flip0.1,last_4,one_step_greedy_merge,0.5486780483277017,5,1.521470520219038,0.9188912153504797,0.2875017624478807
2,even_process_flip0.1,last_5,one_step_greedy_merge,0.5479675485563246,7,1.6445031329773327,0.7334525044689176,0.8013166529660715
2,even_process_flip0.1,last_6,one_step_greedy_merge,0.5474755079750724,10,1.6993786163505877,0.7789653297331758,0.7871885682088483
2,even_process_flip0.1,last_7,one_step_greedy_merge,0.5469808873601639,14,1.8474707783889317,0.6756462823141157,1.0524324591608742
2,even_process_flip0.1,last_8,one_step_greedy_merge,0.5471819642117899,20,2.0075426332588213,0.6089717546611997,1.4595034703577476
3,even_process_flip0.1,last_1,one_step_greedy_merge,0.5511703519731403,2,0.549173993452679,1.0,0.0
3,even_process_flip0.1,last_2,one_step_greedy_merge,0.5484110187227866,3,0.9511529398048649,1.0,0.0
3,even_process_flip0.1,last_3,one_step_greedy_merge,0.5469748513312842,4,1.1060056520594206,0.8854471361784044,0.30654218784551585
3,even_process_flip0.1,last_4,one_step_greedy_merge,0.5462304621122948,4,1.338097400328379,0.8605456420513141,0.3990812273783607
3,even_process_flip0.1,last_5,one_step_greedy_merge,0.5459205585752276,5,1.2839472224998147,0.9049776866632498,0.3932799028233832
3,even_process_flip0.1,last_6,one_step_greedy_merge,0.5452011071425048,9,1.3759652226818617,0.8752695430425081,0.5235414661488
3,even_process_flip0.1,last_7,one_step_greedy_merge,0.5451085725017158,13,1.7455040621628812,0.7418683434171709,1.0191965706327815
3,even_process_flip0.1,last_8,one_step_greedy_merge,0.545000920250152,19,2.0007454725635068,0.6382108993630892,1.3268300430431417
4,even_process_flip0.1,last_1,one_step_greedy_merge,0.5515312152537233,2,0.5541614578163035,1.0,0.0
4,even_process_flip0.1,last_2,one_step_greedy_merge,0.5494570324585214,3,0.9569460852355294,1.0,0.0
4,even_process_flip0.1,last_3,one_step_greedy_merge,0.5479791295006133,4,1.2927929240244345,0.926916922923073,0.1990653180511057
4,even_process_flip0.1,last_4,one_step_greedy_merge,0.5470858999309165,6,1.2852015659743743,0.8955967373980437,0.2700915692152873
4,even_process_flip0.1,last_5,one_step_greedy_merge,0.5462739364919281,8,1.5660585096921005,0.7756353363251122,0.655303182577911
4,even_process_flip0.1,last_6,one_step_greedy_merge,0.5459324556212487,9,1.5483563961792635,0.8110479833492715,0.7156079272686706
4,even_process_flip0.1,last_7,one_step_greedy_merge,0.5457767245963042,14,1.8089679272595112,0.7127481374068704,1.0361812538268123
4,even_process_flip0.1,last_8,one_step_greedy_merge,0.5458138563887778,19,1.946452665303927,0.6492552706089717,1.298992324622859
