base_process,flip_p,subsample_step,k,logloss_mean,logloss_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
markov_order_2,0.0,1,1,0.605886022310503,0.0028905449362303316,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,2,0.4306691399486667,0.0019630421230445137,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,3,0.4306707868735624,0.0019656508704319503,1.0,0.0,0.0,0.0
markov_order_2,0.0,1,4,0.43068237205952775,0.0019711884020973815,0.9892098651233141,0.013731869619366639,0.04119992850747716,0.05198968961631451
markov_order_2,0.0,1,5,0.43069911185591303,0.001972761832538625,0.9282811742176132,0.04171539663690217,0.26759878590240244,0.13297378899197798
markov_order_2,0.0,1,6,0.43072822417898077,0.0019643227221020462,0.8878377871612753,0.04136663017498727,0.4322439228903975,0.13053714614867554
