seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy
0,even_process_flip0.02,last_1,one_step_greedy_merge,0.4777515484796059,2,0.4854551715396467,1.0,0.0
0,even_process_flip0.02,last_2,one_step_greedy_merge,0.4660941102616518,3,0.8487068783534037,1.0,0.0
0,even_process_flip0.02,last_3,one_step_greedy_merge,0.4603610153524074,3,0.9631920978424571,0.9095852396309908,0.21818833899558546
0,even_process_flip0.02,last_4,one_step_greedy_merge,0.45349093984022903,5,1.2825952623880057,0.8536891777868059,0.38930249105284664
0,even_process_flip0.02,last_5,one_step_greedy_merge,0.4493186560877617,8,1.137826449622672,0.9289660862282335,0.2446908488421426
0,even_process_flip0.02,last_6,one_step_greedy_merge,0.4475154899021073,13,1.4220207759961236,0.8515622558486934,0.5000323651555424
0,even_process_flip0.02,last_7,one_step_greedy_merge,0.44601529564667447,19,1.5570570816791036,0.7842267113355668,0.6458050716190842
0,even_process_flip0.02,last_8,one_step_greedy_merge,0.44442879315213935,25,1.717344662249228,0.7658055765636818,0.8846249535064694
1,even_process_flip0.02,last_1,one_step_greedy_merge,0.4798058538653721,2,0.48563680424246136,1.0,0.0
1,even_process_flip0.02,last_2,one_step_greedy_merge,0.46706058557218344,3,0.8478901473001336,1.0,0.0
1,even_process_flip0.02,last_3,one_step_greedy_merge,0.4623988018302896,4,1.0421291512812496,0.8962974074351859,0.26063704890783795
1,even_process_flip0.02,last_4,one_step_greedy_merge,0.45446326709356877,4,1.1025375344821442,0.9045532672896028,0.2420943074200213
1,even_process_flip0.02,last_5,one_step_greedy_merge,0.45074206819224466,7,1.1538436478894352,0.9287098266184982,0.25215602470832055
1,even_process_flip0.02,last_6,one_step_greedy_merge,0.4456432157728102,11,1.5034009156780106,0.8383866794172246,0.6032899797507758
1,even_process_flip0.02,last_7,one_step_greedy_merge,0.4432952590385937,17,1.569278075474348,0.7772513625681284,0.7602527726177989
1,even_process_flip0.02,last_8,one_step_greedy_merge,0.44019259838812236,23,1.675245946726974,0.7436668312592584,0.8999298077445246
2,even_process_flip0.02,last_1,one_step_greedy_merge,0.4783565712927401,2,0.48575481096209044,1.0,0.0
2,even_process_flip0.02,last_2,one_step_greedy_merge,0.46642501179099455,3,0.8482191431032832,1.0,0.0
2,even_process_flip0.02,last_3,one_step_greedy_merge,0.4611713813047007,3,0.9624098411351025,0.908697717442936,0.21899589884357856
2,even_process_flip0.02,last_4,one_step_greedy_merge,0.4534075767014874,4,1.095765471231577,0.9060095627988375,0.24376495588296682
2,even_process_flip0.02,last_5,one_step_greedy_merge,0.4495014815449685,8,1.3595236897859317,0.8891770941410303,0.3375744837245041
2,even_process_flip0.02,last_6,one_step_greedy_merge,0.4441584830388119,14,1.4523752063630144,0.8112542423731038,0.605950253133879
2,even_process_flip0.02,last_7,one_step_greedy_merge,0.44174762591540984,19,1.5606341522034632,0.8669808490424521,0.5537089179442615
2,even_process_flip0.02,last_8,one_step_greedy_merge,0.44145109714904224,25,1.7582113505352974,0.7863379815114601,0.8407625096291541
3,even_process_flip0.02,last_1,one_step_greedy_merge,0.47793895505717665,2,0.484071434215365,1.0,0.0
3,even_process_flip0.02,last_2,one_step_greedy_merge,0.46630794447531054,3,0.8458764785730082,1.0,0.0
3,even_process_flip0.02,last_3,one_step_greedy_merge,0.461570134616442,3,0.9605901975559332,0.9100790019750494,0.2167965128606545
3,even_process_flip0.02,last_4,one_step_greedy_merge,0.4541090401218629,4,1.0744046044967228,0.9100971905372043,0.22440019883927692
3,even_process_flip0.02,last_5,one_step_greedy_merge,0.45097326424666134,8,1.2690037598861719,0.8864582421840819,0.3978751977526626
3,even_process_flip0.02,last_6,one_step_greedy_merge,0.44653556816249995,14,1.4439840439203426,0.8262986505659623,0.600126007587225
3,even_process_flip0.02,last_7,one_step_greedy_merge,0.4458510741806478,19,1.453436498524664,0.8645369768488425,0.5891032667716571
3,even_process_flip0.02,last_8,one_step_greedy_merge,0.443065830818316,21,1.703126947459082,0.7213343250557844,0.8785764422733139
4,even_process_flip0.02,last_1,one_step_greedy_merge,0.47932931538149287,2,0.4870319736090912,1.0,0.0
4,even_process_flip0.02,last_2,one_step_greedy_merge,0.4686959367185931,3,0.850448983318004,1.0,0.0
4,even_process_flip0.02,last_3,one_step_greedy_merge,0.46348209002187274,4,1.0285419524767154,0.8981349533738343,0.2592449512132281
4,even_process_flip0.02,last_4,one_step_greedy_merge,0.45547812462405524,6,1.134821831667151,0.9016656770524079,0.25065061213217743
4,even_process_flip0.02,last_5,one_step_greedy_merge,0.4525475749111383,9,1.2962508994897395,0.8839081465554959,0.4411812762187471
4,even_process_flip0.02,last_6,one_step_greedy_merge,0.44820744266879337,13,1.4162559637808103,0.8781884207434075,0.4244291707217852
4,even_process_flip0.02,last_7,one_step_greedy_merge,0.44749206618250126,19,1.559664432105641,0.7991024551227561,0.6369252916667242
4,even_process_flip0.02,last_8,one_step_greedy_merge,0.4482946374449191,24,1.7617873424801773,0.7481670843984974,0.9097733866344673
