base_process,condition_id,flip_p,subsample_step,reconstructor,representation,k,n,logloss_mean,logloss_std,n_states_mean,n_states_std,C_mu_empirical_mean,C_mu_empirical_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_1,1,10,0.6056274147279332,0.0026807561374353477,2.0,0.0,0.6362114287419869,0.00041062841329663694,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_2,2,10,0.43071668848643896,0.0021100213679506145,4.0,0.0,1.2418091382935015,0.0010879603431881418,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_3,3,10,0.43071841199203875,0.002111715357471178,4.4,0.5163977794943222,1.2751237093158743,0.04253820624704826,1.0,0.0,0.0,0.0
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_4,4,10,0.4307177293722331,0.0021092009548089145,6.8,1.1352924243950937,1.445619554584352,0.10521966242814261,0.9534208338802117,0.03234362173773564,0.16713071262209256,0.11637539885432287
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_5,5,10,0.4307316922763569,0.0021059773786160593,11.7,1.2516655570345725,1.6776273669625226,0.05617215043734278,0.8989468671015031,0.028076689192423263,0.34813396285277837,0.08692656069886753
markov_order_2,flip0_sub1,0.0,1,one_step_greedy_merge,last_6,6,10,0.43075380942458724,0.002103171848989136,21.2,1.9321835661585915,1.868844603424216,0.10690666327783428,0.8489829286006252,0.03148446220105361,0.5451622757379045,0.10746722558355144
