seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy
0,even_process_flip0.01_sub4,last_1,one_step_greedy_merge,0.47871825538973006,2,0.4743511951045331,1.0,0.0
0,even_process_flip0.01_sub4,last_2,one_step_greedy_merge,0.4787506572307837,2,0.47432045083968377,1.0,0.0
0,even_process_flip0.01_sub4,last_3,one_step_greedy_merge,0.47919568722927114,3,0.842747508718714,0.9464196419641964,0.2186298245701067
0,even_process_flip0.01_sub4,last_4,one_step_greedy_merge,0.479158422024028,4,0.8450600137511571,0.9024378047255907,0.34621241934861935
0,even_process_flip0.01_sub4,last_5,one_step_greedy_merge,0.47946660047801104,9,1.2055125552214447,0.7800670100515077,0.8615980199785195
0,even_process_flip0.01_sub4,last_6,one_step_greedy_merge,0.4868020887287157,13,1.4048645059193423,0.7000225039381892,1.1318973012331615
0,even_process_flip0.01_sub4,last_7,one_step_greedy_merge,0.4957340364460568,16,1.4305917977469325,0.6624824964992999,1.2908147499202645
0,even_process_flip0.01_sub4,last_8,one_step_greedy_merge,0.5140035574709019,21,1.7333966504600435,0.6198644695056388,1.5343081916248869
1,even_process_flip0.01_sub4,last_1,one_step_greedy_merge,0.4678932528651788,2,0.4752519100879511,1.0,0.0
1,even_process_flip0.01_sub4,last_2,one_step_greedy_merge,0.467918988851406,2,0.47525875241141713,1.0,0.0
1,even_process_flip0.01_sub4,last_3,one_step_greedy_merge,0.46794472872959386,2,0.47526559493742343,1.0,0.0
1,even_process_flip0.01_sub4,last_4,one_step_greedy_merge,0.4681617547798083,4,0.8482010043991733,0.9344918114764346,0.26390391365489196
1,even_process_flip0.01_sub4,last_5,one_step_greedy_merge,0.4732665929425892,7,1.2145773900410206,0.7277341601240186,0.8310065148918937
1,even_process_flip0.01_sub4,last_6,one_step_greedy_merge,0.47623607896202186,12,1.2335199990465573,0.7376790938414223,1.0320643610604658
1,even_process_flip0.01_sub4,last_7,one_step_greedy_merge,0.48487374023449753,16,1.5113060982456572,0.6797359471894379,1.1838870295921904
1,even_process_flip0.01_sub4,last_8,one_step_greedy_merge,0.4877519947016929,19,1.6105752409112752,0.6480208046810533,1.3447378706244917
2,even_process_flip0.01_sub4,last_1,one_step_greedy_merge,0.4743244813191903,2,0.4773069589179715,1.0,0.0
2,even_process_flip0.01_sub4,last_2,one_step_greedy_merge,0.4741938759995589,3,0.8778274258021825,1.0,0.0
2,even_process_flip0.01_sub4,last_3,one_step_greedy_merge,0.4742914012447567,4,0.9560484566626384,1.0,0.0
2,even_process_flip0.01_sub4,last_4,one_step_greedy_merge,0.47457619926013195,6,1.372384542122307,0.9005875734466808,0.30183953639639344
2,even_process_flip0.01_sub4,last_5,one_step_greedy_merge,0.4775566297956333,9,1.019484522224423,0.9390408561284193,0.3333100983321718
2,even_process_flip0.01_sub4,last_6,one_step_greedy_merge,0.49089035923105,13,1.3654245734378316,0.7830370314805091,0.9212289930620005
2,even_process_flip0.01_sub4,last_7,one_step_greedy_merge,0.48847953222288254,17,1.6170141780158,0.6096719343868774,1.2957526498150773
2,even_process_flip0.01_sub4,last_8,one_step_greedy_merge,0.49509216784493104,17,1.6775800628031736,0.5320197044334976,1.689639278248978
3,even_process_flip0.01_sub4,last_1,one_step_greedy_merge,0.48154943020061225,2,0.4772324510176309,1.0,0.0
3,even_process_flip0.01_sub4,last_2,one_step_greedy_merge,0.481576046544642,2,0.47723930229695544,1.0,0.0
3,even_process_flip0.01_sub4,last_3,one_step_greedy_merge,0.48146524679383396,3,0.5982140369370379,0.9454195419541954,0.21866583545518
3,even_process_flip0.01_sub4,last_4,one_step_greedy_merge,0.4813572752912225,5,0.8858706449058202,0.9686960870108764,0.12796137078942227
3,even_process_flip0.01_sub4,last_5,one_step_greedy_merge,0.48224932171307977,8,1.2193189156832283,0.8187728159223884,0.6602885747806614
3,even_process_flip0.01_sub4,last_6,one_step_greedy_merge,0.4841235127259523,13,1.295233995177866,0.7089240617107994,0.9824770419014853
3,even_process_flip0.01_sub4,last_7,one_step_greedy_merge,0.49530203935078737,14,1.3363950445807304,0.7000150030006002,1.2803508270227568
3,even_process_flip0.01_sub4,last_8,one_step_greedy_merge,0.5055277957118017,18,1.677187103479158,0.589582656097622,1.6467378069881458
4,even_process_flip0.01_sub4,last_1,one_step_greedy_merge,0.47655223476929937,2,0.4756264955902247,1.0,0.0
4,even_process_flip0.01_sub4,last_2,one_step_greedy_merge,0.47643461024783107,2,0.4756333396309752,1.0,0.0
4,even_process_flip0.01_sub4,last_3,one_step_greedy_merge,0.47660738538976777,4,0.6067252071912524,0.9494699469946994,0.20803952535639253
4,even_process_flip0.01_sub4,last_4,one_step_greedy_merge,0.47647175470415454,4,0.5958460297848946,0.9768721090136268,0.0995106198707405
4,even_process_flip0.01_sub4,last_5,one_step_greedy_merge,0.47672041689185934,8,0.9349940615327885,0.9382907436115417,0.2871631982586763
4,even_process_flip0.01_sub4,last_6,one_step_greedy_merge,0.4772028857771325,13,1.1390978412432529,0.8841797314530043,0.5512286678833241
4,even_process_flip0.01_sub4,last_7,one_step_greedy_merge,0.4824915942724187,15,1.3524087673824001,0.7287957591518304,1.091587266869031
4,even_process_flip0.01_sub4,last_8,one_step_greedy_merge,0.4934470203371969,17,1.5888538449341498,0.5828061313795604,1.4546784535358024
